Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs
URI ECS053 East Chi,127.571,27.971,Truth_Pelagic,0.557,305.84,0.238,330.97,0.109,299.37,0.066,326.86,0.214,79.82,0.163,60.02,0.069,78.28,0.033,48.68
55538 Kerema Bay,145.5,-8.183,Truth_Shelf,0.56,353.06,0.346,317.1,0.205,341.5,0.094,313.98,0.294,42.29,0.138,19.67,0.086,38.41,0.017,21.91
55630 Delami I.,149.817,-10.533,Truth_Shelf,0.413,345.06,0.241,310.2,0.144,332.6,0.071,309.18,0.285,37.79,0.132,9.47,0.083,33.31,0.025,352.41
55870 Woodlark I.,152.9836512,-9.2527956,Truth_Shelf,0.028,30.16,0.078,207.2,0.029,308.2,0.021,199.58,0.251,47.59,0.132,24.07,0.075,43.81,0.021,9.21
57930 Bramble Cay,143.883,-9.133,Truth_Shelf,0.708,10.96,0.422,341.7,0.205,0.2,0.108,335.08,0.327,49.09,0.154,16.17,0.094,46.51,0.025,353.71
57935 Stephens I.,143.55,-9.5,Truth_Shelf,0.74,21.66,0.453,353.1,0.265,6.6,0.125,349.58,0.366,51.09,0.17,18.37,0.11,48.01,0.03,358.61
58025 Phipi Reef,142.533,-9.6,Truth_Shelf,0.295,91.56,0.581,66.5,0.154,83,0.149,59.98,0.516,82.79,0.338,49.27,0.149,80.11,0.032,14.51
58070 Coconut I.,143.067,-10.05,Truth_Shelf,0.693,44.86,0.518,20.7,0.209,34.1,0.141,20.68,0.405,54.09,0.195,24.57,0.134,54.11,0.037,1.61
58073 Poll I.,142.817,-10.25,Truth_Shelf,0.595,57.86,0.52,32.4,0.211,45.5,0.133,25.78,0.434,62.29,0.193,21.07,0.125,59.71,0.039,6.71
58240 Proudfoot Sho,141.467,-10.517,Truth_Shelf,0.75,190.96,0.148,277.4,0.171,154.6,0.05,246.18,0.678,34.19,0.43,340.37,0.177,26.11,0.083,317.61
58540 Raine I.,144.05,-11.6,Truth_Shelf,0.476,348.26,0.295,307,0.172,327.7,0.077,302.38,0.3,41.49,0.146,14.67,0.088,37.41,0.029,347.31
58680 Chapman I.,143.6,-12.883,Truth_Shelf,0.545,355.46,0.311,312.9,0.174,331.5,0.086,311.58,0.317,44.59,0.145,16.07,0.096,41.01,0.028,355.41
"58890 Lizard I., QL",145.4439382,-14.6644798,Truth_Shelf,0.532,346.16,0.329,309.6,0.168,339.7,0.09,305.68,0.311,43.39,0.141,14.07,0.093,40.41,0.031,15.51
59190 Pith Reef,147.017,-18.217,Truth_Shelf,0.549,342.96,0.307,302.1,0.172,326.2,0.084,297.68,0.339,38.09,0.156,9.67,0.101,34.31,0.03,345.51
59450 Bugatti Reef,150.3,-20.083,Truth_Shelf,0.749,10.76,0.288,348.7,0.206,354.6,0.082,346.98,0.326,33.39,0.153,7.27,0.098,30.31,0.03,347.71
59500 Penrith I.,149.9,-21,Truth_Shelf,1.516,27.76,0.566,13.6,0.384,23.9,0.148,10.58,0.37,36.49,0.184,8.67,0.105,34.81,0.037,357.31
59550 Bell Cay,151.25,-21.817,Truth_Shelf,1.127,2.06,0.456,357.5,0.207,357.5,0.133,351.58,0.308,17.29,0.162,351.77,0.092,15.51,0.043,343.71
59620 High Peak I.,150.683,-21.95,Truth_Shelf,1.496,8.16,0.563,4.5,0.392,2.8,0.166,0.68,0.348,23.09,0.169,354.37,0.096,25.81,0.051,340.81
59700 Heron I.,151.917,-23.45,Truth_Shelf,0.829,322.26,0.289,318.6,0.182,302.9,0.088,312.68,0.251,8.89,0.13,336.67,0.072,7.61,0.024,303.31
60585 Hogan I.,146.9777643,-39.215936,Truth_Shelf,0.671,28.66,0.112,209.9,0.194,358.7,0.022,221.68,0.212,295.59,0.138,277.27,0.063,291.41,0.038,252.91
60610 Rabbit I.,146.517,-38.917,Truth_Shelf,0.697,43.16,0.169,216.6,0.165,7.7,0.034,228.38,0.238,297.99,0.158,273.77,0.071,293.71,0.038,251.91
60617 Curtis I.,146.717,-39.483,Truth_Shelf,0.81,32.36,0.133,201.9,0.199,353.2,0.026,213.68,0.203,296.39,0.131,271.57,0.061,292.21,0.039,245.61
60875 Three Hummock,144.833,-40.45,Truth_Shelf,0.782,62.16,0.101,172.8,0.182,37.7,0.015,181.38,0.13,301.29,0.097,269.77,0.039,299.81,0.027,268.91
61930 Wedge I.,136.567,-35.167,Truth_Shelf,0.163,108.55,0.169,149.3,0.013,188.52,0.048,148.12,0.207,251.31,0.151,233.84,0.063,243.89,0.033,216.81
61937 Shelf Edge Mo,135.75,-35.767,Truth_Shelf,0.135,71.15,0.149,109.7,0.01,156.62,0.043,111.42,0.177,244.11,0.133,227.84,0.056,240.09,0.029,215.31
61960 Pearson I.,134.2667425,-33.9287271,Truth_Shelf,0.202,77.75,0.232,110.4,0.026,156.72,0.075,105.82,0.161,235.31,0.14,223.34,0.054,229.39,0.035,212.81
62010 St Francis I.,133.317,-32.5,Truth_Shelf,0.246,75.45,0.313,109.3,0.035,231.02,0.101,105.52,0.183,236.11,0.12,224.34,0.062,229.39,0.052,245.71
62490 Barrow I.,115.4965259,-20.7264174,Truth_Shelf,0.794,74.43,0.442,136.9,0.14,45.78,0.123,134.94,0.217,173.77,0.141,164.26,0.065,171.43,0.031,155.31
62501 North West I.,115.512408,-20.3529582,Truth_Shelf,0.656,67.23,0.369,127.6,0.112,49.48,0.098,127.84,0.199,170.57,0.131,164.16,0.064,168.83,0.035,166.71
62610 Bedout I.,119.1024033,-19.6014554,Truth_Shelf,1.626,67.83,1.026,129.1,0.279,40.98,0.289,127.14,0.252,189.37,0.107,157.46,0.073,187.93,NaN,NaN
62990 North Maret I,124.983,-14.4,Truth_Shelf,1.896,68.43,1.229,124,0.295,54.68,0.354,122.34,0.324,182.27,0.188,174.86,0.094,183.93,0.043,171.31
63022 Heywood Shoal,124.05,-13.467,Truth_Shelf,1.506,63.63,0.946,121.5,0.259,39.38,0.273,119.94,0.297,175.47,0.236,159.66,0.086,176.93,0.07,152.21
63023 Pee Shoal,124.833,-11.767,Truth_Shelf,0.907,79.03,0.515,122.5,0.179,63.18,0.148,120.84,0.344,182.47,0.202,167.76,0.1,183.93,0.052,175.11
63028 Van Cloon Sho,126.417,-12.65,Truth_Shelf,0.556,76.03,0.376,122.3,0.071,62.18,0.106,121.44,0.406,184.97,0.228,176.56,0.113,184.73,0.047,159.31
63040 Lesueur I.,127.283,-13.833,Truth_Shelf,0.391,305.73,0.063,3.4,0.075,290.58,0.018,1.84,0.567,202.67,0.321,198.86,0.152,205.43,0.039,199.61
63107 Calder Shoal,129.067,-10.85,Truth_Shelf,0.634,165.85,0.291,222.3,0.119,148.32,0.082,225.42,0.434,188.51,0.234,174.84,0.124,187.99,0.048,156.81
63177 Cape Scott (o,129.533,-13.417,Truth_Shelf,1.433,245.45,0.685,292.4,0.224,220.72,0.192,290.12,0.526,192.41,0.329,182.54,0.147,194.99,0.061,164.51
63447 Cape Wessel w,136.017,-10.917,Truth_Shelf,0.988,297.45,0.333,4.7,0.225,278.92,0.106,351.02,0.348,287.41,0.391,251.94,0.086,276.79,0.096,213.31
63483 Truant I.,136.817,-11.65,Truth_Shelf,0.848,330.85,0.265,44.3,0.18,300.72,0.088,24.62,0.325,313.71,0.254,252.34,0.077,309.69,0.045,217.91
63514 Cape Beatrice,136.95,-14.283,Truth_Shelf,0.07,90.15,0.009,125.1,0.02,50.42,0.001,147.62,0.278,212.41,0.25,150.04,0.079,193.79,0.051,104.51
63587 Nassau R. (OF,140.2,-15.4,Truth_Shelf,0.041,140.76,0.04,280.9,0.003,198.2,NaN,NaN,0.513,153.49,0.364,90.27,0.144,156.11,0.073,53.71
"Ashmore, Timor Sea",123,-12.22,Truth_Shelf,0.932,66.01,0.522,118.54,0.163,42.43,0.144,117.83,0.26,177.42,0.161,166.3,0.079,174.16,0.036,160.13
Korea Str N2,129.67,35.2,Truth_Shelf,0.171,344,0.092,12.7,0.032,336.3,0.025,3.2,0.01,206.5,0.023,171.1,0.003,197.6,NaN,NaN
Korea Str N4,130.21,34.84,Truth_Shelf,0.199,7.2,0.107,31.2,0.038,2.5,0.029,22,0.043,160.5,0.051,144.1,0.014,156.7,NaN,NaN
Korea Str N6,130.65,34.5,Truth_Shelf,0.234,23.9,0.123,45,0.046,19.9,0.034,35.8,0.084,166.7,0.091,144.9,0.027,162.9,NaN,NaN
Korea Str S2,128.12,34.13,Truth_Shelf,0.801,0.9,0.372,25.2,0.165,352.1,0.106,16.4,0.184,65.8,0.133,44.1,0.062,59.3,NaN,NaN
Korea Str S4,128.56,33.74,Truth_Shelf,0.739,359,0.348,23.3,0.15,351,0.098,14.2,0.178,80.2,0.136,61.3,0.056,74.7,NaN,NaN
Korea Str S6,129,33.35,Truth_Shelf,0.728,358,0.343,22.2,0.148,350.4,0.097,12.6,0.2,93.4,0.161,74.7,0.063,88.7,NaN,NaN
"Roti, Savu Sea",122.682,-10.815,Truth_Shelf,0.84,69.86,0.453,120.15,0.148,47.15,0.128,120.29,0.267,173.67,0.167,163.95,0.081,170.66,0.038,154.49
South China ASIAEX,117.058,22.186,Truth_Shelf,0.119,36.8,0.042,28.7,NaN,NaN,NaN,NaN,0.251,169.2,0.242,131.1,NaN,NaN,NaN,NaN
South China ASIAEX,117.283,21.614,Truth_Shelf,0.13,5.3,0.052,19.6,NaN,NaN,NaN,NaN,0.254,170.6,0.237,127.4,NaN,NaN,NaN,NaN
Yellow Sea NRL-A,125.251,33.267,Truth_Shelf,0.647,71.5,0.248,86.1,0.137,55.2,0.068,95,0.205,86.2,0.145,65.5,0.068,77.2,NaN,NaN
Yellow Sea NRL-B,125,33.75,Truth_Shelf,0.702,95.9,0.236,114,0.142,75.7,0.068,124.6,0.189,94.7,0.136,75.3,0.063,84.9,NaN,NaN
Cochin,76.2850633,9.9497534,UHSLC_Fast,0.202,185.483,0.079,238.3,0.044,157.801,0.021,242.688,0.173,336.636,0.086,347.682,0.053,335.234,0.021,354.333
Diego Garcia,72.427936,-7.2315525,UHSLC_Fast,0.492,263.473,0.284,293.384,0.089,260.538,0.079,288.537,0.038,72.481,0.04,67.529,0.013,61.322,0.009,55.176
Jask Harbour,57.765451,25.6510253,UHSLC_Fast,0.702,158.813,0.273,188.779,0.173,141.99,0.073,184.703,0.398,340.855,0.21,342.045,0.123,339.041,0.045,344.526
Kerguelen Island,70.1309215,-49.4121377,UHSLC_Fast,0.522,190.17,0.22,230.331,0.114,172.372,0.06,227.516,0.079,151.41,0.019,116.935,0.024,144.682,0.002,133.921
Ko Miang,97.6337724,8.5781143,UHSLC_Fast,0.713,88.85,0.348,123.84,0.136,84.677,0.096,118.264,0.129,223.255,0.051,193.733,0.04,220.743,0.008,145.114
Lord Howe Is.,159.066667,-31.5333333,UHSLC_Fast,0.6,302.101,0.176,319.65,0.124,293.739,0.051,310.973,0.137,352.89,0.077,318.302,0.041,347.069,0.017,292.641
Malakal,134.4579471,7.3297659,UHSLC_Fast,0.524,300.867,0.208,331.726,0.101,286.101,0.058,324.166,0.198,85.017,0.147,67.313,0.064,86.246,0.026,57.65
Male (Hulhule),73.5240818,4.1977744,UHSLC_Fast,0.235,226.111,0.138,270.473,0.035,208.654,0.036,267.139,0.116,344.926,0.063,359.539,0.037,341.376,0.016,7.904
Marion Is.,37.869613,-46.8728418,UHSLC_Fast,0.23,79.34,0.121,99.725,0.051,74.845,0.031,94.823,0.025,147.186,0.025,299.263,0.006,142.846,0.01,279.304
Mawson,62.8666667,-67.6,UHSLC_Fast,0.032,233.499,0.112,9.254,0.022,176.915,0.033,11.293,0.233,292.149,0.252,284.92,0.077,291.966,0.059,276.396
Meulaboh,96.1326171,4.1271055,UHSLC_Fast,0.163,8.049,0.08,38.433,0.031,358.322,0.022,37.082,0.085,195.754,0.045,167.907,0.026,194.436,0.009,129.366
Minicoy,73.05,8.11666667,UHSLC_Fast,0.258,179.172,0.105,227.075,0.053,153.296,0.027,226.758,0.208,335.436,0.104,344.939,0.06,335.462,0.024,353.019
Port Blair,92.7666667,11.6833333,UHSLC_Fast,0.553,97.787,0.274,133.87,0.113,92.221,0.067,128.068,0.116,237.921,0.044,210.862,0.035,236.07,0.006,161.171
Pte Des Galets (Reunion Is.),55.3061798,-20.9237468,UHSLC_Fast,0.174,281.899,0.092,295.905,0.045,281.754,0.026,290.108,0.053,82.551,0.033,48.216,0.017,77.945,0.007,12.007
Sadeng,110.783333,-8.5,UHSLC_Fast,0.537,30.534,0.281,88.452,0.102,2.166,0.078,86.234,0.209,164.045,0.128,155.835,0.06,162.632,0.027,143.606
Tanjung Lesung,105.6612708,-6.4793968,UHSLC_Fast,0.329,356.931,0.147,55.077,0.068,331.122,0.039,54.918,0.137,150.9,0.087,145.584,0.042,152.955,0.018,127.387
Telukdalam,97.8260176,0.5626953,UHSLC_Fast,0.237,323.395,0.114,359.23,0.049,309.382,0.032,356.221,0.099,175.893,0.06,157.271,0.031,173.988,0.013,133.472
Vishakhapatnam (Vishkhapatnam),83.2975309,17.6872371,UHSLC_Fast,0.475,79.264,0.207,108.705,0.104,73.533,0.053,108.469,0.113,253.286,0.04,245.668,0.037,254.497,0.002,1.161
Waikelo,119.2187628,-9.3888858,UHSLC_Fast,0.826,65.481,0.431,117.732,0.15,40.268,0.113,113.448,0.246,170.961,0.154,161.981,0.071,169.732,0.035,149.605
10 Lingshuijiao,110.0509072,18.3810901,Fang1999,0.18,78,0.08,100,NaN,NaN,NaN,NaN,0.3,197,0.23,145,NaN,NaN,NaN,NaN
12 Yangpu,109.1918824,19.7230101,Fang1999,0.24,278,0.09,324,NaN,NaN,NaN,NaN,0.73,325,0.81,266,NaN,NaN,NaN,NaN
14 Tsieng mum,107.6167,21.13333,Fang1999,0.18,307,0.06,350,NaN,NaN,NaN,NaN,0.73,336,0.82,278,NaN,NaN,NaN,NaN
15 Hongai,107.066667,20.95,Fang1999,0.06,272,0.03,267,NaN,NaN,NaN,NaN,0.85,343,0.88,296,NaN,NaN,NaN,NaN
16 Hon Nieu,105.7692449,18.7973999,Fang1999,0.3,159,0.09,233,NaN,NaN,NaN,NaN,0.49,343,0.58,305,NaN,NaN,NaN,NaN
18 Thuan An,107.633,16.567,Fang1999,0.18,119,0.04,178,NaN,NaN,NaN,NaN,0.03,150,0.02,267,NaN,NaN,NaN,NaN
19 Da Nang,108.198707,16.097402,Fang1999,0.17,98,0.06,130,NaN,NaN,NaN,NaN,0.2,184,0.13,146,NaN,NaN,NaN,NaN
2 Shaoanwan,117.1318017,23.56335933,Fang1999,0.76,142,0.18,200,NaN,NaN,NaN,NaN,0.34,172,0.3,136,NaN,NaN,NaN,NaN
22 Cam Ranh,109.2,11.883333,Fang1999,0.18,97,0.09,135,NaN,NaN,NaN,NaN,0.34,187,0.3,153,NaN,NaN,NaN,NaN
27 Hatien,104.445124,10.341728,Fang1999,0.1,247,0.02,113,NaN,NaN,NaN,NaN,0.26,321,0.13,300,NaN,NaN,NaN,NaN
32 Bangkok bar,100.58333,13.46667,Fang1999,0.55,298,0.27,2,NaN,NaN,NaN,NaN,0.67,62,0.46,19,NaN,NaN,NaN,NaN
34 Koh Prap,99.4345252,9.2647331,Fang1999,0.18,126,0.12,206,NaN,NaN,NaN,NaN,0.46,77,0.3,32,NaN,NaN,NaN,NaN
36 Tumpat,102.1666121,6.2018993,Fang1999,0.18,29,0.08,53,NaN,NaN,NaN,NaN,0.28,231,0.17,204,NaN,NaN,NaN,NaN
37 Trengganu,103.1368842,5.349765,Fang1999,0.27,11,0.12,49,NaN,NaN,NaN,NaN,0.52,243,0.3,203,NaN,NaN,NaN,NaN
38 Kuantan,103.4435559,3.9667812,Fang1999,0.55,38,0.18,82,NaN,NaN,NaN,NaN,0.52,258,0.34,222,NaN,NaN,NaN,NaN
41 Pulau Laut,108.00734,4.735791,Fang1999,0.09,213,0.04,206,NaN,NaN,NaN,NaN,0.36,228,0.18,171,NaN,NaN,NaN,NaN
42 Natuna,108.033333,3.8,Fang1999,0.21,245,0.06,278,NaN,NaN,NaN,NaN,0.4,235,0.27,213,NaN,NaN,NaN,NaN
43 Subi Kechil,108.85,3.06,Fang1999,0.49,237,0.15,274,NaN,NaN,NaN,NaN,0.37,230,0.24,191,NaN,NaN,NaN,NaN
44 Tanjong Datu,109.6500858,2.0829041,Fang1999,0.91,245,0.18,261,NaN,NaN,NaN,NaN,0.37,215,0.15,144,NaN,NaN,NaN,NaN
46 Triso Darat,110.9879831,1.5204279,Fang1999,1.71,271,0.52,333,NaN,NaN,NaN,NaN,0.4,231,0.34,201,NaN,NaN,NaN,NaN
47 Kuala Paloh,111.233333,2.45,Fang1999,1.1,242,0.3,296,NaN,NaN,NaN,NaN,0.46,218,0.37,176,NaN,NaN,NaN,NaN
48 Batang Mukah,112.096294,2.925108333,Fang1999,0.37,221,0.09,227,NaN,NaN,NaN,NaN,0.4,206,0.34,156,NaN,NaN,NaN,NaN
5 Dayawan,114.7304148,22.734085,Fang1999,0.37,20,0.15,39,NaN,NaN,NaN,NaN,0.34,175,0.27,137,NaN,NaN,NaN,NaN
53 Ulugan bay,118.7840493,10.07075167,Fang1999,0.21,72,0.09,105,NaN,NaN,NaN,NaN,0.34,197,0.27,155,NaN,NaN,NaN,NaN
57 Santa Cruz,119.9,15.766667,Fang1999,0.12,31,0.02,84,NaN,NaN,NaN,NaN,0.26,193,0.22,147,NaN,NaN,NaN,NaN
58 San Fernando,120.305732,16.62494867,Fang1999,0.08,32,0.02,43,NaN,NaN,NaN,NaN,0.24,192,0.2,155,NaN,NaN,NaN,NaN
59 Yongshujiao,112.9011858,9.5859704,Fang1999,0.18,87,0.08,116,NaN,NaN,NaN,NaN,0.35,191,0.29,151,NaN,NaN,NaN,NaN
60 Makung,119.566667,23.55,Fang1999,0.87,94,0.23,135,NaN,NaN,NaN,NaN,0.25,158,0.21,125,NaN,NaN,NaN,NaN
62 Putai,120.1457153,23.393541,Fang1999,0.6,80,0.14,125,NaN,NaN,NaN,NaN,0.2,158,0.19,125,NaN,NaN,NaN,NaN
A1_Shelf,106.835,-1.6666667,Wei2016,0.038,341.3,0.026,82.3,0.004,306.6,NaN,NaN,0.591,30,0.424,329.1,NaN,NaN,0.078,306.1
A2_Shelf,107.9866667,-1.0916667,Wei2016,0.044,322.9,0.027,62.2,0.008,284.9,NaN,NaN,0.508,27,0.374,326.8,NaN,NaN,0.072,305.4
B1_Shelf,107.16,-2.78,Wei2016,0.043,236.4,0.053,160,0.02,206.6,NaN,NaN,0.596,33.3,0.396,344.7,NaN,NaN,0.074,324.3
B2_Shelf,108.25,-2.2833333,Wei2016,0.019,117.5,0.056,123.8,0.006,192.6,NaN,NaN,0.544,45.4,0.365,354.7,NaN,NaN,0.073,335
B3_Shelf,108.55,-1.915,Wei2016,0.022,68.5,0.087,96.5,0.005,8.7,NaN,NaN,0.572,36.2,0.352,343.9,NaN,NaN,0.117,339.4
I1 Beihuangcheng,120.92,38.4,Fang2004,0.591,71.327,0.186,118.1,NaN,NaN,NaN,NaN,0.072,259.871,0.045,258.856,NaN,NaN,NaN,NaN
I2 Haiyangdao,123.1524247,39.070454,Fang2004,1.263,17.627,0.413,60.5,NaN,NaN,NaN,NaN,0.332,215.571,0.229,183.156,NaN,NaN,NaN,NaN
I3 Qianliyan,121.38,36.27,Fang2004,0.983,224.227,0.347,259.5,NaN,NaN,NaN,NaN,0.223,221.671,0.183,174.556,NaN,NaN,NaN,NaN
I4 Shengshan,122.8,30.75,Fang2004,1.127,47.127,0.524,84.4,NaN,NaN,NaN,NaN,0.253,75.371,0.165,39.556,NaN,NaN,NaN,NaN
I5 Pingtan,119.85,25.24,Fang2004,2.014,80.227,0.608,114.4,NaN,NaN,NaN,NaN,0.308,130.371,0.25,100.756,NaN,NaN,NaN,NaN
I6 Takarashima,129.2048923,29.1588449,Fang2004,0.56,308.127,0.23,329,NaN,NaN,NaN,NaN,0.22,81.671,0.15,60.456,NaN,NaN,NaN,NaN
Pelagic_TP1,120.46667,-13.51667,Robertson2008,0.897,56,0.5,130,NaN,NaN,NaN,NaN,0.241,169,0.141,161,NaN,NaN,NaN,NaN
Pelagic_TP2,119.05,-2.15,Robertson2008,0.464,277,0.324,326,NaN,NaN,NaN,NaN,0.221,155,0.162,116,NaN,NaN,NaN,NaN
Pelagic_TP3,120.46667,2.15,Robertson2008,0.589,290,0.344,334,NaN,NaN,NaN,NaN,0.179,133,0.134,116,NaN,NaN,NaN,NaN
Pelagic_TP4,123.28333,2.03333,Robertson2008,0.572,291,0.328,334,NaN,NaN,NaN,NaN,0.173,127,0.128,112,NaN,NaN,NaN,NaN
Pelagic_TP5,127.55,-2.05,Robertson2008,0.256,160,0.11,249,NaN,NaN,NaN,NaN,0.218,170,0.142,155,NaN,NaN,NaN,NaN
Pelagic_TP6,121.88333,5.93333,Robertson2008,0.596,290,0.331,334,NaN,NaN,NaN,NaN,0.176,135,0.135,117,NaN,NaN,NaN,NaN
Pelagic_TP7,131.81667,-5.9,Robertson2008,0.585,139,0.185,199,NaN,NaN,NaN,NaN,0.277,187,0.186,174,NaN,NaN,NaN,NaN
Pelagic_TP8,128.96667,2.01667,Robertson2008,0.493,288,0.214,318,NaN,NaN,NaN,NaN,0.192,87,0.129,175,NaN,NaN,NaN,NaN
Shelf_TP1,114.8,-5.96667,Robertson2008,0.134,140,0.053,78,NaN,NaN,NaN,NaN,0.449,201,0.225,165,NaN,NaN,NaN,NaN
Shelf_TP2,119.05,-9.75,Robertson2008,0.831,54,0.457,107,NaN,NaN,NaN,NaN,0.245,169,0.143,161,NaN,NaN,NaN,NaN
Shelf_TP3,126.13333,-13.5,Robertson2008,0.847,62,0.566,124,NaN,NaN,NaN,NaN,0.401,193,0.232,182,NaN,NaN,NaN,NaN
Shelf_TP4,127.55,-9.75,Robertson2008,0.622,120,0.241,167,NaN,NaN,NaN,NaN,0.299,184,0.192,172,NaN,NaN,NaN,NaN
Shelf_TP5,133.21667,-9.76667,Robertson2008,0.435,189,0.142,252,NaN,NaN,NaN,NaN,0.266,230,0.264,217,NaN,NaN,NaN,NaN
Dhulasar,90.27,21.85,Krien2016,0.73,158,0.35,193,NaN,NaN,NaN,NaN,0.13,286,0.04,278,NaN,NaN,NaN,NaN
Sagar Roads,88.045,21.647,Krien2016,1.4,116,0.66,150,NaN,NaN,NaN,NaN,0.15,262,0.05,250,NaN,NaN,NaN,NaN
